127id,latitude,longitude,connection_order
5,49.615,37.439,28
5,49.34,37.324,29
5,49.07,37.183,30
5,48.806,37.019,31
5,48.549,36.831,32
5,48.3,36.622,33
5,48.061,36.391,34
5,47.83,36.14,35
5,47.611,35.87,36
5,47.402,35.582,37
5,47.206,35.278,38
5,47.022,34.958,39
5,46.851,34.624,40
5,46.694,34.276,41
5,46.551,33.917,42
5,46.423,33.547,43
5,46.31,33.168,44
5,46.212,32.781,45
5,46.13,32.386,46
5,46.065,31.986,47
5,46.015,31.582,48
5,45.982,31.174,49
5,45.965,30.765,50
5,45.965,30.355,51
5,45.982,29.946,52
5,46.015,29.538,53
5,46.065,29.134,54
5,46.13,28.734,55
5,46.212,28.339,56
5,46.31,27.952,57
5,46.423,27.573,58
5,46.551,27.203,59
5,46.694,26.844,60
5,46.851,26.496,61
5,47.022,26.162,62
5,47.206,25.842,63
5,47.402,25.538,64
5,47.611,25.25,65
5,47.83,24.98,66
5,48.061,24.729,67
5,48.3,24.498,68
5,48.549,24.289,69
5,48.806,24.101,70
5,49.07,23.937,71
5,49.34,23.796,72
5,49.615,23.681,73
5,49.894,23.592,74
5,50.176,23.529,75
5,50.46,23.494,76
5,50.745,23.487,77
5,51.03,23.508,78
5,51.313,23.559,79
5,51.594,23.638,80
5,51.871,23.748,81
5,52.143,23.887,82
5,52.408,24.055,83
5,52.667,24.253,84
5,52.917,24.48,85
5,53.157,24.736,86
5,53.386,25.019,87
5,53.603,25.329,88
5,53.808,25.664,89
5,53.998,26.024,90
5,54.174,26.407,91
5,54.333,26.812,92
5,54.476,27.235,93
5,54.601,27.677,94
5,54.709,28.133,95
5,54.797,28.603,96
5,54.867,29.083,97
5,54.917,29.571,98
5,54.947,30.064,99
5,54.957,30.56,100
6,61.447,24.12,1
6,61.436,24.716,2
6,61.405,25.308,3
6,61.354,25.894,4
6,61.283,26.469,5
6,61.192,27.03,6
6,61.082,27.575,7
6,60.953,28.1,8
6,60.807,28.602,9
6,60.643,29.08,10
6,60.464,29.531,11
6,60.27,29.952,12
6,60.061,30.343,13
6,59.84,30.702,14
6,59.607,31.028,15
6,59.363,31.319,16
6,59.11,31.576,17
6,58.849,31.797,18
6,58.581,31.983,19
6,58.307,32.133,20
6,58.028,32.248,21
6,57.747,32.328,22
6,57.463,32.373,23
6,57.178,32.385,24
6,56.893,32.363,25
6,56.609,32.309,26
6,56.328,32.223,27
6,56.05,32.107,28
6,55.777,31.962,29
6,55.51,31.789,30
6,55.248,31.588,31
6,54.994,31.362,32
6,54.749,31.111,33
6,54.512,30.836,34
6,54.285,30.54,35
6,54.069,30.223,36
6,53.864,29.886,37
6,53.67,29.532,38
6,53.49,29.161,39
6,53.322,28.774,40
6,53.168,28.373,41
6,53.028,27.959,42
6,52.903,27.535,43
6,52.792,27.1,44
6,52.696,26.656,45
6,52.617,26.205,46
6,52.552,25.748,47
6,52.504,25.286,48
6,52.472,24.821,49
6,52.455,24.354,50
6,52.455,23.886,51
6,52.472,23.419,52
6,52.504,22.954,53
